"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8772","test_fill_epic_standalone_connection","tests","2025-12-24","passed","2025-12-24","","ClickAutodetect","",""
"","10478","test_fill_epic_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_OAuthtoken","",""
"Test Script 5: Login + Create Complete Connection","53401","test_05_create_connection","tests","2025-12-29","passed","2025-12-29","","AddConnectionStandalone","",""
"","7490","test_add_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_ClientID","",""
"","10297","test_open_standalone_launch_form","tests","2025-12-24","passed","2025-12-24","","Standalone_open","",""
"","17893","Go to Connections, Manage PerrylHealth, and Edit","tests","2025-12-30","passed","2025-12-30","","GoToConnectionAndEdit","",""
"Test Script 5: Login + Create Complete Connection","65742","test_05_create_connection","tests","2025-12-24","passed","2025-12-24","","Save","",""
"","26235","Edit Client Secret for PerrylHealth connection","tests","2026-01-15","passed","2026-01-15","TestEditClientSecret","EditClientSecret","",""
"Test Script 6: Login + Navigate to Dashboard","13088","test_06_navigate_to_dashboard","tests","2025-12-29","passed","2025-12-29","","NavigatetoDashboard","",""
"","22419","Edit connection name: PerrylHealth → PerrylHealth Connect","tests","2025-12-30","passed","2025-12-30","","EditConnectionName","",""
"","23705","Edit PerrylHealth Base URL","tests","2026-01-15","passed","2026-01-15","","EditBaseUrl","",""
"","650","test_click_test_connection","tests","2026-01-06","broken","2026-01-06","","ClickTestConnection","",""
"","26222","Edit Client ID for PerrylHealth connection","tests","2025-12-31","passed","2025-12-31","TestEditClientID","EditClientID","",""
"","17284","test_07_manage_connection","tests","2025-12-29","passed","2025-12-29","","ClickManageButton","",""
"","21","test_mcp_echo","tests","2025-12-31","passed","2025-12-31","","test_mcp","",""
"","25421","Edit Client ID for PerrylHealth connection","tests","2025-12-30","passed","2025-12-30","","EditClientID","",""
"","8818","test_fill_epic_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_Baselurl","",""
"","7234","test_dashboard_connections","tests","2025-12-24","passed","2025-12-24","","Dashboard","",""
"","1","test_mcp_missing_input","tests","2025-12-31","passed","2025-12-31","","test_mcp","",""
"","5794","test_wrong_username_and_password","tests","2025-12-24","passed","2025-12-24","","wrong_username_and_pass","",""
"","11588","test_fill_epic_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_OAuthScopes","",""
"","7835","test_add_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_ClientSecret","",""
"","5001","test_wrong_password","tests","2025-12-24","passed","2025-12-24","","Wrong pass","",""
"","5408","test_login_fields","tests","2025-12-24","passed","2025-12-24","","loginfields","",""
"","3410","test_login_ui","tests","2025-12-24","passed","2025-12-24","","login_ui","",""
"","10288","test_fill_epic_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_OAuthURL","",""
"","10840","test_add_new_connection","","2025-12-24","broken","2025-12-24","","","",""
"","10581","test_add_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_ConnectionName","",""
"","7831","test_dashboard_ui","tests","2025-12-24","passed","2025-12-24","","dashboard_ui","",""
"
Pytest + Allure version of Test Script 9: Manage PerrylHealth and Test Connection
","27288","Manage PerrylHealth and Test Connection","tests","2026-01-06","passed","2026-01-06","","ClickTestConnection","",""
